"po","total"
"119999991000","18000"
"0902068","1600"
"0902069","800"
"0902070","7000"
"0902071","4200"
"0902072","2600"
"0902074","2600"
"0902076","22000"
"0902078","3250"
"0902080","3750"
"0902122","6000"
"0902123","6000"
"0902124","9000"
"0902128","12000"
"0902129","6400"
"0902130","6000"
"0902131","3200"
"0902132","8000"
"0902133","7000"
"0902135","12000"
"0902138","1600"
"0902139","6000"
"0902140","7000"
"0902141","6640"
"0902142","1500"
"0902143","1500"
"0902148","1800"
"0902169","6000"
"0902170","800"
"0902171","2000"
"0902173","7500"
"0902174","9000"
"0902175","6000"
"0902179","7000"
"0902180","1400"
"0902181","1200"
"0902183","1500"
"0902184","1950"
"0902185","1300"
"0902186","1200"
"0902197","3000"
"0902198","18000"
"0902239","500"
"0902240","500"
"0902242","6000"
"0902244","200"
